playerRegion,playerLanguage,playerNumberOfDaysOld,numberOfGuesses,countryFlagEmoji,deviceAlternateLanguage,deviceIdentifierForVendor
FR,fr,45,2.0,🇷🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,5.0,🇦🇫,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,3.0,🇦🇽,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,6.0,🇦🇱,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,1.0,🇩🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,4.0,🇦🇴,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,3.0,🇦🇮,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇶,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇬,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,1.0,🇦🇷,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇼,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,1.0,🇦🇺,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇦🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,4.0,🇦🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇧🇸,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,3.0,🇧🇭,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,3.0,🇧🇩,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇧🇧,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇧🇾,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇧🇪,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,4.0,🇧🇿,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,2.0,🇧🇯,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,1.0,🇧🇲,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
FR,fr,45,3.0,🇧🇹,none,FFFFFFFF-FFFF-FFFF-FFFF-FFFFFFFFFFFF
